name,gender
Protagonist,Any
Sothis (NPC),Female
Edelgard,Female
Hubert,Male
Dorothea,Female
Ferdinand,Male
Bernadetta,Female
Caspar,Male
Petra,Female
Linhardt,Male
Dimitri,Male
Dedue,Male
Felix,Male
Mercedes,Female
Ashe,Male
Annette,Female
Sylvain,Male
Ingrid,Female
Claude,Male
Lorenz,Male
Hilda,Female
Raphael,Male
Lysithea,Female
Ignatz,Male
Marianne,Female
Leonie,Female
Rhea (NPC),Female
Manuela,Female
Hanneman,Male
Seteth,Male
Flayn,Female
Cyril,Male
Jeralt (NPC),Male
Catherine,Female
Alois,Male
Gilbert,Male
Shamir,Female
Yuri,Male
Balthus,Male
Constance,Female
Hapi,Female
Jeritza,Male
Anna,Female
