class_name,tier,weapon_category,requirement_type,requirements
Myrmidon,Beginner,physical,OR,Sword:D
Soldier,Beginner,physical,OR,Lance:D
Fighter,Beginner,physical,OR,Axe:D|Bow:D|Brawling:D
Monk,Beginner,magic,OR,Reason:D|Faith:D
Mercenary,Intermediate,physical,AND,Sword:C
Thief,Intermediate,physical,AND,Sword:C
Armored Knight,Intermediate,physical,AND,Axe:C|Heavy Armour:D
Cavalier,Intermediate,physical,AND,Lance:C|Riding:D
Brigand,Intermediate,physical,AND,Axe:C
Archer,Intermediate,physical,AND,Bow:C
Brawler,Intermediate,physical,AND,Brawling:C
Mage,Intermediate,magic,AND,Reason:C
Dark Mage,Intermediate,magic,AND,Reason:C
Priest,Intermediate,magic,AND,Faith:C
Pegasus Knight,Intermediate,physical,AND,Lance:C|Flying:D
Hero,Advanced,physical,AND,Sword:B|Axe:C
Swordmaster,Advanced,physical,AND,Sword:A
Assassin,Advanced,physical,AND,Sword:B|Bow:C
Fortress Knight,Advanced,physical,AND,Axe:B|Heavy Armour:B
Paladin,Advanced,physical,AND,Lance:B|Riding:B
Wyvern Rider,Advanced,physical,AND,Axe:B|Flying:C
Warrior,Advanced,physical,AND,Axe:A
Sniper,Advanced,physical,AND,Bow:A
Grappler,Advanced,physical,AND,Brawling:A
Warlock,Advanced,magic,AND,Reason:A
Dark Bishop,Advanced,magic,AND,Reason:A
Bishop,Advanced,magic,AND,Faith:A
Falcon Knight,Master,physical,AND,Sword:C|Lance:A|Flying:A
Wyvern Lord,Master,physical,AND,Lance:C|Axe:A|Flying:A
Mortal Savant,Master,hybrid,AND,Sword:A|Reason:B+
Great Knight,Master,physical,AND,Axe:B+|Heavy Armour:A|Riding:B+
Bow Knight,Master,physical,AND,Lance:C|Bow:A|Riding:A
Dark Knight,Master,hybrid,AND,Lance:C|Reason:B+|Riding:A
Holy Knight,Master,hybrid,AND,Lance:C|Faith:B+|Riding:A
War Master,Master,physical,AND,Axe:A|Brawling:A
Gremory,Master,magic,AND,Reason:A|Faith:A
Trickster,DLC Exclusive,hybrid,AND,Sword:B|Faith:B
War Monk/Cleric,DLC Exclusive,hybrid,AND,Brawling:B+|Faith:C+
Dark Flier,DLC Exclusive,magic,AND,Reason:B+|Flying:C
Valkyrie,DLC Exclusive,magic,AND,Reason:B|Riding:B
